strain	date	division	PB2	PB1	PA	NP	NA	MP	NS	PB2_letter	PB1_letter	PA_letter	NP_letter	NA_letter	MP_letter	NS_letter	constellation
A/swine/Minnesota/A01940153/2015|08/17/2015|Minnesota	2015-08-17	Minnesota	?	?	?	?	2002B.2	?	?								?
A/swine/North_Carolina/A02025687/2015|08/20/2015|North_Carolina	2015-08-20	North Carolina	?	?	?	?	?	pdm	?								?
A/swine/North_Carolina/A02025678/2015|08/21/2015|North_Carolina	2015-08-21	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Minnesota/A01940148/2015|08/24/2015|Minnesota	2015-08-24	Minnesota	?	?	?	?	2002B.2	pdm	?								?
A/swine/Illinois/A01770678/2015|08/24/2015|Illinois	2015-08-24	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/Illinois/A02090639/2015|08/26/2015|Illinois	2015-08-26	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01857103/2015|08/31/2015|North_Carolina	2015-08-31	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01857100/2015|08/31/2015|North_Carolina	2015-08-31	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Indiana/A01260976/2015|09/01/2015|Indiana	2015-09-01	Indiana	TRIG	TRIG	TRIG	pdm	2002B.2	pdm	TRIG	T	T	T	P	2	P	T	TTTPPT
A/swine/North_Carolina/A01857097/2015|09/02/2015|North_Carolina	2015-09-02	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A02025897/2015|09/03/2015|North_Carolina	2015-09-03	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Iowa/A02025916/2015|09/08/2015|Iowa	2015-09-08	Iowa	?	?	?	?	2002B.2	pdm	?								?
A/swine/Illinois/A01857433/2015|09/14/2015|Illinois	2015-09-14	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01945112/2015|09/15/2015|North_Carolina	2015-09-15	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Minnesota/A01940427/2015|09/21/2015|Minnesota	2015-09-21	Minnesota	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01945243/2015|09/24/2015|North_Carolina	2015-09-24	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Iowa/A01944211/2015|09/28/2015|Iowa	2015-09-28	Iowa	?	?	?	?	2002B.2	pdm	?								?
A/swine/Iowa/A01857687/2015|09/30/2015|Iowa	2015-09-30	Iowa	?	?	?	?	2002B.2	pdm	?								?
A/swine/Iowa/A01857653/2015|09/30/2015|Iowa	2015-09-30	Iowa	?	?	?	?	?	pdm	?								?
A/swine/Ohio/A01944458/2015|10/06/2015|Ohio	2015-10-06	Ohio	TRIG	TRIG	TRIG	TRIG	2002A.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/North_Carolina/A01945452/2015|10/06/2015|North_Carolina	2015-10-06	North Carolina	TRIG	TRIG	TRIG	pdm	2002B.2	pdm	TRIG	T	T	T	P	2	P	T	TTTPPT
A/swine/Ohio/A01795365/2015|10/08/2015|Ohio	2015-10-08	Ohio	?	?	?	?	2002A.2	pdm	?								?
A/swine/North_Carolina/A01945473/2015|10/09/2015|North_Carolina	2015-10-09	North Carolina	?	?	?	?	?	pdm	?								?
A/swine/Illinois/A02090984/2015|10/12/2015|Illinois	2015-10-12	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01857750/2015|10/13/2015|North_Carolina	2015-10-13	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Illinois/A01945618/2015|10/14/2015|Illinois	2015-10-14	Illinois	?	?	?	?	?	pdm	?								?
A/swine/Ohio/A01857766/2015|10/14/2015|Ohio	2015-10-14	Ohio	?	?	?	?	2002A.2	pdm	?								?
A/swine/North_Carolina/A01944727/2015|10/16/2015|North_Carolina	2015-10-16	North Carolina	?	?	?	?	?	pdm	?								?
A/swine/North_Carolina/A01944728/2015|10/16/2015|North_Carolina	2015-10-16	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01945726/2015|10/19/2015|North_Carolina	2015-10-19	North Carolina	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Minnesota/A01940814/2015|10/19/2015|Minnesota	2015-10-19	Minnesota	?	?	?	?	2002B.2	pdm	?								?
A/swine/Minnesota/A01940765/2015|10/19/2015|Minnesota	2015-10-19	Minnesota	?	?	?	?	2002B.2	pdm	?								?
A/swine/Illinois/A01945691/2015|10/19/2015|Illinois	2015-10-19	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01945728/2015|10/19/2015|North_Carolina	2015-10-19	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01945753/2015|10/20/2015|North_Carolina	2015-10-20	North Carolina	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
A/swine/Illinois/A01749100/2015|10/20/2015|Illinois	2015-10-20	Illinois	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01945740/2015|10/21/2015|North_Carolina	2015-10-21	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Kansas/A01377619/2015|10/22/2015|Kansas	2015-10-22	Kansas	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01945823/2015|10/23/2015|North_Carolina	2015-10-23	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01945939/2015|10/24/2015|North_Carolina	2015-10-24	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01945912/2015|10/24/2015|North_Carolina	2015-10-24	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Arkansas/A01857979/2015|10/26/2015|Arkansas	2015-10-26	Arkansas	?	?	?	?	2002B.2	pdm	?								?
A/swine/Iowa/A01945966/2015|10/26/2015|Iowa	2015-10-26	Iowa	?	?	?	?	?	pdm	?								?
A/swine/North_Carolina/A01945976/2015|10/27/2015|North_Carolina	2015-10-27	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Iowa/A01944835/2015|10/27/2015|Iowa	2015-10-27	Iowa	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01945969/2015|10/27/2015|North_Carolina	2015-10-27	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/North_Carolina/A01945973/2015|10/27/2015|North_Carolina	2015-10-27	North Carolina	?	?	?	?	2002B.2	pdm	?								?
A/swine/Iowa/A01944877/2015|10/28/2015|Iowa	2015-10-28	Iowa	?	?	?	?	2002B.2	pdm	?								?
A/swine/Illinois/A01944946/2015|10/29/2015|Illinois	2015-10-29	Illinois	TRIG	TRIG	TRIG	TRIG	2002B.2	pdm	TRIG	T	T	T	T	2	P	T	TTTTPT
